max_msp_reqs,min_msp_reqs,tot_req_done,num_requests_fulfilled,total_satisfied_requests_percentage,total_reward,total_cost,avg_cost_per_client,avg_cost_alive,avg_head_imrvnss_alive,avg_head_imrvnss_overall,worked_msps,avg_worked_msps,remaining_budget,total_helped_times,total_help_received
148,147,295,262,88.8135593220339,560.1701591262217,316.5094370261825,63.30188740523651,158.87417883840502,0.7773571767444728,0.77465447404177,295,1.9932432432432432,0,250,1959.7653747451996
182,180,362,316,87.29281767955801,674.1776638360716,386.9348554235831,77.38697108471665,194.37931274983202,0.7712839865639034,0.7678499590650492,362,1.989010989010989,0,305,2836.7440062509554
177,176,353,311,88.10198300283287,670.4176383809071,377.4412370293763,75.48824740587526,189.17682757015788,0.778241101535498,0.7766874292191138,353,1.9943502824858756,0,306,2753.1473554047916
183,181,364,326,89.56043956043956,702.785143819427,389.11122335067586,77.82224467013525,195.5896573693872,0.7758122448292543,0.7711675225400033,364,1.989071038251366,0,318,2961.151737397178
160,159,319,282,88.40125391849529,608.1801483426221,338.950793628887,67.79015872577742,170.0958450519366,0.7688989203090041,0.7659302002912327,319,1.99375,0,281,2326.5253020192886
164,164,328,292,89.02439024390245,622.5276881126414,347.09239858156326,69.41847971631262,173.54619929078163,0.769504729164172,0.769504729164172,328,2.0,0,276,2488.3245192804247
184,182,366,330,90.1639344262295,716.2351795668783,393.52204957846186,78.70440991569234,197.8264985357659,0.7519561581863211,0.7477676995271793,366,1.9162303664921465,0,337,2892.943282117362
173,173,346,301,86.9942196531792,653.8301581940714,366.774937456291,73.35498749125821,183.3874687281455,0.7751364255403921,0.7751364255403921,346,2.0,0,310,2759.3932338990617
173,170,343,303,88.33819241982506,643.6701624064742,366.22353026788187,73.2447060535764,184.73378147694902,0.7641359157715085,0.7574216551778167,343,1.96,0,284,2415.00162263406
160,158,318,285,89.62264150943396,611.8551460343044,342.86036155954986,68.57207231190999,172.74105883786467,0.7857734913755798,0.7799922713578085,318,1.9875,0,280,2423.946575280629
172,171,343,310,90.37900874635568,663.2151624064743,358.05500119586986,71.61100023917388,179.54075048373397,0.7665618349159552,0.7645269639743968,343,1.994186046511628,0,291,2510.0865503929363
175,175,350,315,90.0,669.1451772953911,375.1922996441344,75.03845992882685,188.5605943311465,0.7765546434475351,0.7728615013748563,350,1.9886363636363635,0,292,2645.4027076438197
177,175,352,320,90.9090909090909,683.9201654464161,374.1721423425677,74.83442846851352,188.02404226696012,0.7735798958881818,0.770048822441854,352,1.9887005649717515,0,302,2675.6438830044135
158,158,316,279,88.29113924050634,593.6226588552141,340.0534292147867,68.01068584295733,170.02671460739336,0.7775242983747461,0.7775242983747461,316,2.0,0,264,2128.492453382809
173,171,344,312,90.69767441860465,665.0926874544526,369.6295063462455,73.9259012692491,185.90844578924344,0.7767165020117334,0.7721188284321736,344,1.9770114942528736,0,294,2510.2152599630776
