requests,2_msps_total_costs,3_msps_total_costs,4_msps_total_costs,5_msps_total_costs
10,18.11863149724536,33.329432763009436,53.67943337535826,66.97096044682667
30,51.54911010463502,89.1895276391349,142.32267140694375,212.92878374909833
50,84.10859208367174,149.6138940249341,236.9379098559707,335.740827491848
70,118.35317117641284,209.20315758961283,327.3309110559767,462.58869137202873
90,151.02875005653414,270.5047887193082,418.8634818465762,598.3386348487265
