num_steps,total_satisfied_requests_percentage,num_requests_fulfilled,last_num_msps_applied,total_reward,moving_avg_reward,average_reward_per_steps,total_cost,avg_cost_per_client,avg_cost_alive,total_immersiveness,avg_head_imrvnss_alive,avg_head_imrvnss_overall,need_help,worked_msps,avg_worked_msps,help_budget_invested,total_budget,remaining_budget,consumed_budget,runname,msp_0_budget_left,msp_1_budget_left,msp_2_budget_left,msp_3_budget_left,msp_4_budget_left,msp_q_0,msp_q_1,msp_q_2,msp_q_3,msp_q_4,extra_info
9,1.0,50,5,93.62222917550595,-5.960671395134777,9.362222917550595,72.91296410425241,8.003488800588114,14.582592820850483,8.499899942689726,0.8499899942689726,0.8499899942689726,0,50,5.0,0,3500,3427.087035895748,72.91296410425184,loaded,692.0955968649218,689.4885324387167,686.2235791209514,681.5603577624802,677.7189697086783,0.9999948281130318,0.9999813869799186,0.9999813869799186,0.9999887125727622,0.9999948281130318,ng_reward2
29,1.0,150,5,80.80022778452928,-17.88137735108214,2.693340926150976,230.67494148408417,25.303166038516668,46.13498829681687,25.49982113109515,0.8499940377031715,0.8499940377031715,0,150,5.0,0,3500,3269.3250585159126,230.6749414840874,loaded,674.8130644297282,666.2830430827421,655.7087960470346,648.399595191695,624.1205597647127,1.0,0.9999948281130311,0.9999887125727628,0.9999813869799192,1.0,ng_reward2
49,1.0,250,5,68.0725080195275,-17.8818433068349,1.36145016039055,371.7037126227384,40.59164197376766,74.34074252454768,42.499553959934744,0.8499910791986949,0.8499910791986949,0,250,5.0,0,3500,3128.296287377259,371.703712622741,loaded,662.9759736738492,647.3272515012468,621.6149282929109,607.8017888124009,588.5763450968511,0.9999813869799182,0.9999887125727608,1.0,0.9999887125727622,0.9999887125727622,ng_reward2
69,1.0,350,5,55.25459343401854,-17.8818433068349,0.7893513347716934,528.6159709600325,57.67512039889997,105.7231941920065,59.499375543908634,0.8499910791986948,0.8499910791986948,0,350,5.0,0,3500,2971.384029039967,528.6159709600329,loaded,644.5153668223452,621.1842367527936,603.5650538466598,579.1713988338392,522.9479727843295,0.9999887125727616,0.9999887125727616,0.9999813869799176,0.9999887125727605,1.0,ng_reward2
89,1.0,450,5,42.601283525601005,-17.881711971962048,0.47334759472890003,656.8069243290835,73.11948176703353,131.3613848658167,76.49927218184429,0.8499919131316033,0.8499919131316033,0,450,5.0,0,3500,2843.193075670916,656.8069243290838,loaded,619.2743382317701,598.8491292482263,584.0142363377788,555.1558216189062,485.899550234235,0.9999999999999998,0.9999948281130309,0.9999813869799171,0.9999813869799171,0.9999948281130309,ng_reward2
