num_steps,total_satisfied_requests_percentage,num_requests_fulfilled,last_num_msps_applied,total_reward,moving_avg_reward,average_reward_per_steps,total_cost,avg_cost_per_client,avg_cost_alive,total_immersiveness,avg_head_imrvnss_alive,avg_head_imrvnss_overall,need_help,worked_msps,avg_worked_msps,help_budget_invested,total_budget,remaining_budget,consumed_budget,runname,msp_0_budget_left,msp_1_budget_left,msp_2_budget_left,msp_3_budget_left,msp_4_budget_left,msp_q_0,msp_q_1,msp_q_2,msp_q_3,msp_q_4,extra_info
9,1.0,50,5,93.56682532746555,-5.960146101105878,9.356682532746555,82.77849427456103,9.088214998817731,16.5556988549122,8.499999999999998,0.85,0.85,0,50,5.0,0,3500,3417.2215057254393,82.77849427456067,loaded,691.6043548099094,687.2447508737628,683.261637805133,680.4039089817297,674.7068532549042,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,ing_reward
29,1.0,150,5,80.80399921310071,-17.88137735108214,2.6934666404366903,230.01425460922866,25.620257358835975,46.00285092184578,25.49982113109515,0.8499940377031715,0.8499940377031715,0,150,5.0,0,3500,3269.9857453907716,230.01425460922837,loaded,673.0914460772567,666.2830430827421,655.7087960470346,637.2440294789249,637.6584307048131,1.0,0.9999948281130311,0.9999887125727628,1.0,0.9999813869799192,ing_reward
49,1.0,250,5,68.04724432671082,-17.881875714272507,1.3609448865342164,376.1064346707428,41.64739459388757,75.2212869341485,42.4995436744879,0.8499908734897573,0.8499908734897573,0,250,5.0,0,3500,3123.893565329257,376.10643467074306,loaded,655.1524101287612,647.4426621935834,631.117895604757,601.6042523053045,588.5763450968511,1.0,0.9999813869799182,0.9999813869799182,0.999994828113031,0.9999887125727622,ing_reward
69,1.0,350,5,55.17122230613306,-17.881213608771663,0.7881603186590437,543.5035250960836,59.79612826367447,108.70070501921666,59.49965541415109,0.8499950773450168,0.8499950773450168,0,350,5.0,0,3500,2956.4964749039123,543.5035250960877,loaded,641.2304836693659,615.9487464345625,596.7702165683659,579.5990554472883,522.9479727843295,1.0,0.999994828113031,0.999994828113031,0.9999813869799176,1.0,ing_reward
89,1.0,450,5,42.49560620500355,-17.88131967246587,0.4721734022778172,675.5333430649761,74.00039207257403,135.10666861299538,76.49949634498527,0.8499944038331699,0.8499944038331699,0,450,5.0,0,3500,2824.4666569350247,675.5333430649753,loaded,633.2815502794085,598.6654472535918,558.9068709272397,534.1420610966804,499.47072737810424,0.9999887125727618,0.9999887125727625,0.9999999999999998,0.9999948281130309,0.9999948281130309,ing_reward
