num_steps,total_satisfied_requests_percentage,num_requests_fulfilled,last_num_msps_applied,total_reward,moving_avg_reward,average_reward_per_steps,total_cost,avg_cost_per_client,avg_cost_alive,total_immersiveness,avg_head_imrvnss_alive,avg_head_imrvnss_overall,need_help,worked_msps,avg_worked_msps,help_budget_invested,total_budget,remaining_budget,consumed_budget,runname,msp_0_budget_left,msp_1_budget_left,msp_2_budget_left,msp_3_budget_left,msp_4_budget_left,msp_q_0,msp_q_1,msp_q_2,msp_q_3,msp_q_4,extra_info
9,1.0,50,5,93.58359130247506,-5.960284572237698,9.358359130247505,79.80475500453495,8.763881524516071,15.960951000906999,8.499973623376462,0.8499973623376462,0.8499973623376462,0,50,5.0,0,3500,3420.195244995465,79.80475500453485,loaded,692.0955968649218,687.2447508737628,684.3229856585822,680.3208504610609,676.2110611371372,0.9999948281130318,0.9999999999999998,0.9999999999999998,0.9999948281130318,0.9999948281130318,eward2-099
29,1.0,150,5,80.82328731575275,-17.881573500830218,2.6941095771917585,226.59428623156717,24.67813312392906,45.31885724631345,25.499783770571646,0.849992792352388,0.849992792352388,0,150,5.0,0,3500,3273.4057137684295,226.59428623157055,loaded,679.2342429248367,664.1697352647395,652.9689569757466,648.399595191695,628.6331834114117,0.9999813869799192,1.0,1.0,0.9999813869799192,0.9999948281130311,eward2-099
49,1.0,250,5,68.01863739015903,-17.881515822213952,1.3603727478031806,381.2352474797678,41.25869525831832,76.24704949595366,42.49965792411931,0.8499931584823865,0.8499931584823865,0,250,5.0,0,3500,3118.764752520235,381.2352474797649,loaded,662.9341945996714,643.8050718045702,635.5634646320993,595.4067157982081,581.0553056856861,0.9999887125727608,0.999994828113031,0.9999813869799182,1.0,0.999994828113031,eward2-099
69,1.0,350,5,55.3658795648149,-17.881875714272507,0.7909411366402128,509.1334514806137,56.05275150708608,101.82669029612244,59.49936114428308,0.8499908734897572,0.8499908734897572,0,350,5.0,0,3500,2990.866548519378,509.13345148062217,loaded,644.5153668223452,621.3271005263982,603.5650538466598,587.3434168147048,534.1156105092693,0.9999887125727616,0.999994828113031,0.9999813869799176,0.9999813869799176,1.0,eward2-099
89,1.0,450,5,42.604896674726454,-17.882210335152415,0.47338774083029395,655.8885380338471,72.05895234465899,131.17770760676953,76.49898740263696,0.8499887489181893,0.8499887489181893,0,450,5.0,0,3500,2844.111461966144,655.8885380338561,loaded,633.3567526129286,605.3967919484501,558.2405641936452,534.1420610966804,512.9752921144393,0.9999813869799171,0.9999813869799171,0.9999948281130309,0.9999948281130309,0.9999813869799171,eward2-099
